,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer,transform,dataset,exp_name
46,73.16,93.94,0.0508713365732869,2.2838479974601844,49.748,49.92,0.007395066910416193,5.205787326368834,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",26,219,2,"noise,0.2","cifar10,",noise/0.2
47,80.36,93.94,0.053956930112989646,1.3746995465664924,49.718,49.95,0.015103645453615415,5.220461427708111,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",55,239,3,"noise,0.2","cifar10,",noise/0.2
48,76.26,93.94,96.97502300407314,1.8787259384046626,49.782,49.842,79.78257501704614,5.2099689882429665,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",6,26,0,"noise,0.2","cifar10,",noise/0.2
49,82.04,93.94,308.70879779284513,1.3043168224865878,50.022,50.234,144.329470466165,5.221824891731867,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",15,56,1,"noise,0.2","cifar10,",noise/0.2
50,69.73,93.94,49225.169972866395,2.5159603206417227,49.17,50.028,1268.7718114048014,5.241410177991823,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",26,219,2,"noise,0.2","cifar10,",noise/0.2
51,11.45,93.94,30965.234649621987,12.715397532982163,14.152,50.158,487.81869612386464,8.518005844272311,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",55,239,3,"noise,0.2","cifar10,",noise/0.2
52,73.46,93.94,0.0816089366621609,2.2432269733163377,49.838,49.802,0.023112024268721377,5.183490713539026,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",6,26,0,"noise,0.2","cifar10,",noise/0.2
53,75.23,93.94,0.06746925597515287,2.089877071259897,50.082,49.844,0.015308754008901698,5.207412433136454,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",15,56,1,"noise,0.2","cifar10,",noise/0.2
54,78.42,93.94,0.04765053649869146,1.6708400015589557,49.86,49.876,0.00979334556157022,5.184365552404652,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",26,219,2,"noise,0.2","cifar10,",noise/0.2
55,77.5,93.94,0.058862370262040366,1.8087113929700247,49.74,50.01,0.01285083179631273,5.2256011444589365,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",55,239,3,"noise,0.2","cifar10,",noise/0.2
56,75.71,93.94,0.045274449771718135,1.9526413279243662,49.666,49.81,0.006992176078650577,5.161105663270292,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",6,26,0,"noise,0.2","cifar10,",noise/0.2
57,76.49,93.94,0.04485440645602685,1.8568686035614979,49.72,49.944,0.00695362509302128,5.191479084741734,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",15,56,1,"noise,0.2","cifar10,",noise/0.2
