,Unnamed: 0,distillation,epoch,epochs,lambda,last_layer,layer,lr,pre,resume,student,student_layer,teacher,teacher_layer,test_acc,test_batch_size,test_eval,test_loss,test_teacher/acc,train_acc,train_batch_size,train_eval,train_loss,train_teacher/acc
14,14,nst_poly,92,100,1.0,KD-CE,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,89.77,100,0.44585871424525975,14.821170489788056,90.68,97.806,128,0.06209545994125059,2.333047101717166,98.17399999999999
15,15,nst_poly,83,100,1.0,KD-CE,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,89.79,100,0.437910884320736,14.090640382766724,90.68,97.84,128,0.06155189211049196,2.0186841913958644,98.228
16,16,att_max,87,100,1.0,KD-CE,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,89.97,100,74.52683291077614,2385.318222460747,90.68,97.708,128,0.06378600207131233,2.053984567180009,98.24600000000001
17,17,att_max,99,100,1.0,KD-CE,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,90.1,100,0.3702794024348259,11.860138673782348,90.68,96.632,128,0.09443791960949637,3.0325682684588617,98.27799999999999
18,18,att_max,97,100,1.0,KD-CE,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,88.86,100,0.363314471244812,11.636523990631106,90.68,93.80799999999999,128,0.17736175109434615,5.68583073884325,98.212
19,19,att_max,95,100,1.0,KD-CE,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,89.87,100,0.4282667736709118,13.716367840766909,90.68,97.696,128,0.06581987729629554,2.117647696029195,98.176
20,20,att_mean,93,100,1.0,KD-CE,3,0.01,50,False,MobileNet,55.0,ResNet101,239.0,90.13,100,0.41922474540770055,13.430521271228793,90.68,97.62,128,0.06651984434336652,2.1423255447536484,98.346
21,21,att_mean,90,100,1.0,KD-CE,1,0.01,50,False,MobileNet,15.0,ResNet101,56.0,88.57,100,0.3779679598659277,12.106733236312866,90.68,93.962,128,0.17241156360377435,5.527982787402999,98.21799999999999
22,22,att_mean,69,100,1.0,KD-CE,0,0.01,50,False,MobileNet,6.0,ResNet101,26.0,87.81,100,0.5481860473752022,17.553228826522826,90.68,97.796,128,0.062049903158965476,1.9964461873864277,98.272
23,23,att_mean,98,100,1.0,KD-CE,2,0.01,50,False,MobileNet,26.0,ResNet101,219.0,89.58,100,0.44275442242622376,14.184845247268676,90.68,97.772,128,0.06087603059756901,1.963090079938969,98.25200000000001
0,0,PKT,94,100,1.0,KD,2,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.56,100,0.42288125403225424,0.002754890917567536,90.68,97.35600000000001,128,0.08825901136412036,0.0012680593862548432,98.244
1,1,PKT,97,100,1.0,KD,1,0.1,50,False,ResNet18,1.0,ResNet101,1.0,91.32,100,0.44334688544273376,0.002863788524409756,90.68,97.13600000000001,128,0.0910225321569711,0.0012944708116795589,98.176
2,2,PKT,111,100,1.0,KD,3,0.1,50,True,ResNet18,1.0,ResNet101,1.0,91.93,100,0.4250109221041203,0.0027841241669375448,90.68,97.45,128,0.08006419898832545,0.001206720424869605,98.21600000000001
