,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,batch_size,student,teacher,transform,dataset,exp_name,distillation,last_layer,student_layer,teacher_layer,layer
12,13.78,93.94,0.31970788519593735,15.721707042259506,21.60113690194221,21.482709616295594,0.009608976034955545,5.730783982710405,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,nst_linear,KD,6,26,0
13,15.16,93.94,0.2783083596938773,14.880845323393617,21.387967787778305,21.43533870203695,0.004239781830234058,5.796463345036362,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,nst_linear,KD,15,56,1
14,16.71,93.94,0.2291852218818061,14.605859237381175,21.9090478446234,21.53008053055424,0.002147856739942323,5.802175117261482,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,nst_linear,KD,26,219,2
15,15.97,93.94,0.2636308502170104,15.096650292601767,21.9090478446234,21.695878730459498,0.0025047772620437722,5.7796696605104385,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,nst_linear,KD,55,239,3
16,14.86,93.94,0.2126804501572742,15.069879278351989,22.07484604452866,21.695878730459498,0.0009793228660286827,5.79177847775546,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,PKT,KD,6,26,0
17,15.27,93.94,0.21008931515337545,14.475183680087705,22.666982472761724,21.766935101847466,0.0009316399298382528,5.666990959283077,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,PKT,KD,15,56,1
18,15.44,93.94,0.2088631519788428,14.475887890103497,21.577451444812883,21.459024159166272,0.000936750603035431,5.813710472800515,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,PKT,KD,26,219,2
19,14.64,93.94,0.2174574602631074,15.74745055090023,21.411653244907626,21.24585504500237,0.0009699478449130601,5.8111725287003955,50,0.001,False,50,50,128,MobileNet,ResNet101,"none,",VAE,feat_VAE,PKT,KD,55,239,3
20,18.08,93.94,0.21236150796654857,14.643114874634561,21.340596873519658,21.459024159166272,0.0006684828761287711,5.894663059350216,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,att_max,KD,10,26,0
21,17.67,93.94,0.20046069388148152,13.671651707419866,21.127427759355754,21.387967787778305,0.0006473002722486854,5.863543929475727,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,att_max,KD,23,56,1
22,18.95,93.94,0.20939308838753762,14.666740707204312,22.406442444339177,21.814306016106112,0.000669604941680463,5.805038741140654,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,att_max,KD,35,219,2
23,17.33,93.94,0.23359629643868796,15.818385039703756,22.619611558503077,22.09853150165798,0.0009743386339819567,5.803621075370095,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,att_max,KD,46,239,3
24,16.55,93.94,0.19882846689676936,13.608153572565392,22.216958787304595,22.382756987209852,0.0006479231982887017,5.77168133764556,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,att_mean,KD,10,26,0
25,17.67,93.94,0.19868722029879124,13.233729362487793,21.24585504500237,20.98531501657982,0.0006482331646662769,5.900524385047682,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,att_mean,KD,23,56,1
26,17.91,93.94,0.19885010941873624,12.781433334833459,21.293225959261015,21.62482235907153,0.0006607068935409188,5.839644880005808,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,att_mean,KD,35,219,2
27,16.87,93.94,0.24274056885815873,13.833815103844751,22.09853150165798,22.122216958787305,0.001971172581596131,5.855138402996642,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,att_mean,KD,46,239,3
28,20.46,93.94,62.92737617975549,9.446083551720728,21.814306016106112,21.814306016106112,5.013728979862098,5.797103607293331,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,hint,KD,10,26,0
29,23.31,93.94,342.1485541621341,11.141245347035083,21.459024159166272,21.64850781620085,16.95429752812241,5.913718396967107,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,hint,KD,23,56,1
30,20.82,93.94,49999.89549081537,12.028079395052753,22.216958787304595,22.07484604452866,56.982750054561734,5.885385860096324,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,hint,KD,35,219,2
31,14.85,93.94,31540.09656801103,15.82740525354313,21.62482235907153,21.387967787778305,0.10984351034417297,5.535939982443145,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,hint,KD,46,239,3
32,19.06,93.94,0.24771363788013218,11.930559568767306,21.956418758882048,21.43533870203695,0.003939094304135351,5.934711037260113,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,nst_linear,KD,10,26,0
33,17.1,93.94,0.28574800906302056,15.643094859545744,22.26432970156324,21.88536238749408,0.0028007980577196136,5.832838463060783,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,nst_linear,KD,23,56,1
34,17.27,93.94,0.22787542188469367,15.272114210490939,22.35907153008053,21.60113690194221,0.0012297001102882805,5.871592362721761,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,nst_linear,KD,35,219,2
35,15.43,93.94,0.2808092676008804,17.507127303111403,21.932733301752723,21.1747986736144,0.0016974131858935862,5.781649950778846,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,nst_linear,KD,46,239,3
36,18.41,93.94,0.19249893121327025,11.910613120356693,21.932733301752723,21.98010421601137,0.0006160668333794808,5.7801588376363116,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,PKT,KD,10,26,0
37,16.51,93.94,0.21276906264733664,15.191057905366149,22.193273330175273,22.33538607295121,0.0006081247913905165,5.853913422786828,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,PKT,KD,23,56,1
38,15.5,93.94,0.2094072169518169,14.888998091975346,22.051160587399337,21.672193273330176,0.0006625041300360339,5.764219862042052,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,PKT,KD,35,219,2
39,19.74,93.94,0.19426981746395933,12.939916453784026,22.288015158692563,21.672193273330176,0.0006773879030140851,5.8095418178673945,50,0.001,False,50,50,128,ResNet18,ResNet101,"none,",VAE,feat_VAE,PKT,KD,46,239,3
